Date,Day,Breakfast (kg),Lunch (kg),Dinner (kg),Total Wastage (kg)
Date(2021,2,31),Wednesday,7.5,9.03,16,32.53
Date(2021,3,1),Thursday,6.7,20.69,12.28,39.67
Date(2021,3,2),Friday,5.07,14.42,11.91,31.400000000000002
Date(2021,3,3),Saturday,5.4,13.38,15.52,34.3
Date(2021,3,4),Sunday,6.38,18.83,14.38,39.589999999999996
Date(2021,3,5),Monday,5.78,13.19,5.81,24.779999999999998
Date(2021,3,6),Tuesday,6.35,14.14,12.04,32.53
Date(2021,3,7),Wednesday,7.37,7.44,11.72,26.53
Date(2021,3,8),Thursday,5.31,11.45,9.52,26.279999999999998
Date(2021,3,9),Friday,3.55,16.35,10.78,30.68
Date(2021,3,10),Saturday,6.64,17.7,14.62,38.96
Date(2021,3,11),Sunday,6.1,17.48,12.31,35.89
Date(2021,3,12),Monday,7.47,13.64,11.6,32.71
Date(2021,3,13),Tuesday,5.45,13.44,13.08,31.97
Date(2021,3,14),Wednesday,16.46,11.01,20.16,47.629999999999995
Date(2021,3,15),Thursday,14.25,13.44,20.12,47.81
Date(2021,3,16),Friday,10.53,13.93,19.25,43.71
Date(2021,3,17),Saturday,14.4,14.01,16.24,44.65
Date(2021,3,18),Sunday,18.74,9.58,19.69,48.010000000000005
Date(2021,3,19),Monday,13.43,8.66,19.48,41.57
Date(2021,3,20),Tuesday,17.32,11.83,18.49,47.64
Date(2021,3,21),Wednesday,10.8,10.8,19.95,41.55
Date(2021,3,22),Thursday,15.86,10.07,20.05,45.980000000000004
Date(2021,3,23),Friday,16.7,10.17,17.87,44.739999999999995
Date(2021,3,24),Saturday,10.52,23.96,18.5,52.980000000000004
Date(2021,3,25),Sunday,20.85,8.93,10.76,40.54
Date(2021,3,26),Monday,16.97,9.76,15.36,42.089999999999996
Date(2021,3,27),Tuesday,17.52,12.81,13.3,43.629999999999995
Date(2021,3,28),Wednesday,14.82,11.96,17.39,44.17
Date(2021,3,29),Thursday,15.99,11.32,10.56,37.870000000000005
Date(2021,3,30),Friday,13.6,10.52,11.37,35.489999999999995
Date(2021,4,1),Saturday,18.1,8.66,18.72,45.480000000000004
Date(2021,4,2),Sunday,16.73,14.66,9.61,41
Date(2021,4,3),Monday,16.83,11.25,16.89,44.97
Date(2021,4,4),Tuesday,12.81,10.72,22.02,45.55
Date(2021,4,5),Wednesday,16.26,12.09,18.5,46.85
Date(2021,4,6),Thursday,22.07,11.15,17.2,50.42
Date(2021,4,7),Friday,14.38,10.82,15.28,40.480000000000004
Date(2021,4,8),Saturday,13.54,13.65,14.9,42.089999999999996
Date(2021,4,9),Sunday,13.77,7.16,10.98,31.91
Date(2021,4,10),Monday,14.17,10.3,9.04,33.51
Date(2021,4,11),Tuesday,15.42,10.55,16.49,42.459999999999994
Date(2021,4,12),Wednesday,15.8,12.11,10.76,38.67
Date(2021,4,13),Thursday,9.92,6.45,9.92,26.29
Date(2021,4,14),Friday,4.9,15.57,8.12,28.589999999999996
Date(2021,4,15),Saturday,5.45,12.99,9.76,28.200000000000003
Date(2021,4,16),Sunday,6.27,10.53,9.3,26.099999999999998
Date(2021,4,17),Monday,5.25,12.55,6.96,24.76
Date(2021,4,18),Tuesday,6.89,11.7,9.54,28.13
Date(2021,4,19),Wednesday,5.06,9.29,10,24.349999999999998
Date(2021,4,20),Thursday,4.18,11.88,10.6,26.660000000000004
Date(2021,4,21),Friday,6.24,10.24,7.92,24.4
Date(2021,4,22),Saturday,4.63,11.29,7.38,23.299999999999997
Date(2021,4,23),Sunday,9.04,6.45,11.19,26.68
Date(2021,4,24),Monday,6.5,11.25,7.59,25.34
Date(2021,4,25),Tuesday,4.64,8.69,8.05,21.38
Date(2021,4,26),Wednesday,6.73,11.31,8.07,26.11
Date(2021,4,27),Thursday,3.44,7.55,8.23,19.22
Date(2021,4,28),Friday,3.65,5.66,9.05,18.36
Date(2021,4,29),Saturday,4.17,6.53,5.62,16.32
Date(2021,4,30),Sunday,6.36,7.26,7.24,20.86
Date(2021,4,31),Monday,5.05,8.92,7.75,21.72
Date(2021,5,1),Tuesday,3.47,6.51,6.05,16.03
Date(2021,5,2),Wednesday,3.22,7.59,5.93,16.740000000000002
Date(2021,5,3),Thursday,4.03,9.17,5.73,18.93
Date(2021,5,4),Friday,5.01,8.99,5,19
Date(2021,5,5),Saturday,4.43,6.75,5.94,17.12
Date(2021,5,6),Sunday,3.39,6.72,6.7,16.81
Date(2021,5,7),Monday,3.8,8.02,6.98,18.8
Date(2021,5,8),Tuesday,5.55,8.75,6.7,21
Date(2021,5,9),Wednesday,3.47,8.39,6.88,18.740000000000002
Date(2021,5,10),Thursday,6.66,6.52,6.6,19.78
Date(2021,5,11),Friday,5.91,6.89,2.16,14.96
Date(2021,5,12),Saturday,5.45,5.65,6,17.1
Date(2021,5,13),Sunday,3.76,8.77,7.36,19.89
Date(2021,5,14),Monday,2.95,8.15,5.71,16.810000000000002
Date(2021,5,15),Tuesday,3.18,6.98,6.2,16.36
Date(2021,5,16),Wednesday,2.97,6.97,9.24,19.18
Date(2021,5,17),Thursday,4.22,5.96,4.22,14.399999999999999
Date(2021,5,18),Friday,3.01,7.88,6.1,16.990000000000002
Date(2021,5,19),Saturday,4.68,8.1,7.5,20.28
Date(2021,5,20),Sunday,2.9,3.78,3.67,10.35
Date(2021,5,21),Monday,3.09,5.01,7.33,15.43
Date(2021,5,22),Tuesday,3.14,7.85,9.15,20.14
Date(2021,5,23),Wednesday,4.45,10.47,6.06,20.98
Date(2021,5,24),Thursday,4.07,7.6,7.4,19.07
Date(2021,5,25),Friday,6.06,6.91,2.33,15.299999999999999
Date(2021,5,26),Saturday,3.43,5.91,9.51,18.85
Date(2021,5,27),Sunday,2.17,7.86,4.95,14.98
Date(2021,5,28),Monday,8.31,6.5,7.6,22.41
Date(2021,5,29),Tuesday,3.15,7.42,2.78,13.35
