Date,Day,Breakfast (kg),Lunch (kg),Dinner (kg),Total Wastage (kg)
2024-02-29,Thursday,10.05,52.7,41.45,104.2
2024-03-01,Friday,14.75,46.5,34.15,95.4
2024-03-02,Saturday,8.45,48.95,45.75,103.15
2024-03-03,Sunday,14.95,48,49.5,112.45
2024-03-04,Monday,14.2,45.85,53.01,113.06
2024-03-05,Tuesday,15.2,47.7,48.8,111.7
2024-03-06,Wednesday,15.25,48.45,37.4,101.1
2024-03-07,Thursday,15.95,39.6,53.65,109.2
2024-03-08,Friday,14.65,39.75,46.2,100.6
2024-03-09,Saturday,7.8,43.05,39.15,90
2024-03-10,Sunday,9.9,33.3,33.55,76.75
2024-03-11,Monday,5.25,22.9,34.5,62.65
2024-03-12,Tuesday,6.05,19.55,35,60.6
2024-03-13,Wednesday,3.7,15.55,19.4,38.65
2024-03-14,Thursday,3.15,13.1,27.75,44
2024-03-15,Friday,2.7,14.3,19.35,36.35
2024-03-16,Saturday,0,12.65,21.85,34.5
2024-03-17,Sunday,17.95,19.35,29.85,67.15
2024-03-18,Monday,13.05,19.45,29.65,62.15
2024-03-19,Tuesday,20.6,28.1,44.6,93.3
2024-03-20,Wednesday,26.8,43.9,36.85,107.55
2024-03-21,Thursday,33.55,59.8,59.15,152.5
2024-03-22,Friday,29,46.45,51.9,127.35
2024-03-23,Saturday,21.95,39.85,42.2,104
2024-03-24,Sunday,26.65,39.65,54.35,120.65
2024-03-25,Monday,29.1,45.55,36.35,111
2024-03-26,Tuesday,37.2,38.05,51.3,126.55
2024-03-27,Wednesday,29.9,41.7,42.9,114.5
2024-03-28,Thursday,31.5,40.25,42.2,113.95
2024-03-29,Friday,9.1,35.55,31.5,76.15
2024-03-30,Saturday,12.5,36.3,49.4,98.2
2024-03-31,Sunday,24.35,37.95,46.85,109.15
