Date,Day,Breakfast (kg),Lunch (kg),Dinner (kg),Total Wastage (kg)
2023-04-25,Tuesday,17.95,41.6,47.5,107.05
2023-04-26,Wednesday,20.2,45.6,54,119.8
2023-04-27,Thursday,2.1,29.85,36.2,68.15
2023-04-28,Friday,17.9,33.27,33.5,84.67
2023-04-29,Saturday,18.1,35.68,35.05,88.83
2023-04-30,Sunday,21.1,41.6,41.35,104.05
2023-05-01,Monday,14.5,25,52.55,92.05
2023-05-02,Tuesday,18.35,28.9,21.5,68.75
2023-05-03,Wednesday,15.6,43.6,35.35,94.55
2023-05-04,Thursday,15.6,43.62,44.7,103.92
2023-05-05,Friday,15.55,45.3,36.4,97.25
2023-05-06,Saturday,17.15,43.1,39.2,99.45
2023-05-07,Sunday,9.9,25,16.15,51.05
2023-05-08,Monday,12.4,39,43.8,95.2
2023-05-09,Tuesday,14.75,46.75,49.65,111.15
2023-05-10,Wednesday,18.7,39,38.5,96.2
2023-05-11,Thursday,21.75,37.4,38.47,97.62
2023-05-12,Friday,22.6,36.3,50.85,109.75
2023-05-13,Saturday,8.35,10.4,39.6,58.35
2023-05-14,Sunday,19.4,32,38.7,90.1
2023-05-15,Monday,18.7,44.5,45,108.2
2023-05-16,Tuesday,15.15,30.4,39.15,84.7
2023-05-17,Wednesday,17.4,46.4,46.55,110.35
2023-05-18,Thursday,15.5,42,37.7,95.2
2023-05-19,Friday,14.95,28.9,24.25,68.1
2023-05-20,Saturday,6.55,21.61,15.21,43.37
2023-05-21,Sunday,10.2,38.25,31.95,80.4
2023-05-22,Monday,5.25,16.26,21.38,42.89
2023-05-23,Tuesday,8.55,22.3,14.64,45.49
2023-05-24,Wednesday,9.55,19.09,16.5,45.14
2023-05-25,Thursday,7.75,23.39,26,57.14
2023-05-26,Friday,13.65,20.64,18.55,52.84
2023-05-27,Saturday,7.3,22.56,18.85,48.71
2023-05-28,Sunday,11.04,19.9,13,43.94
2023-05-29,Monday,10.25,20.4,13.92,44.57
2023-05-30,Tuesday,12.35,17.32,14.95,44.62
2023-05-31,Wednesday,10.25,21,12.75,44
2023-06-01,Thursday,5.5,22.55,9.1,37.15
2023-06-02,Friday,6.2,17.4,12.65,36.25
2023-06-03,Saturday,7.7,14.34,12.75,34.79
2023-06-04,Sunday,9.7,12.6,10.8,33.1
2023-06-05,Monday,10.5,7.1,9.1,26.7
2023-06-06,Tuesday,10.35,15.45,10.64,36.44
2023-06-07,Wednesday,12.4,15.8,11.88,40.08
2023-06-08,Thursday,9,17.4,8.5,34.9
2023-06-09,Friday,5.25,10.04,8.35,23.64
2023-06-10,Saturday,6.5,4.5,7,18
2023-06-11,Sunday,3.5,7.45,13.72,24.67
2023-06-12,Monday,30.61,7.5,14.65,52.76
2023-06-13,Tuesday,9.1,11.6,21.95,42.65
2023-06-14,Wednesday,10,15.86,21.6,47.46
2023-06-15,Thursday,13.36,17.38,10.12,40.86
2023-06-16,Friday,8.9,8.9,16.3,34.1
2023-06-17,Saturday,5.5,7.43,10.8,23.73
2023-06-18,Sunday,6.1,8.15,21.09,35.34
2023-06-19,Monday,6.1,12.82,10.5,29.42
2023-06-20,Tuesday,3.42,9.98,8.6,22
2023-06-21,Wednesday,3.3,10.55,7.75,21.6
2023-06-22,Thursday,1.5,3.75,15.7,20.95
2023-06-23,Friday,0.5,10.98,2.1,13.58
2023-06-24,Saturday,0.35,7.08,2.6,10.03
2023-06-25,Sunday,1,10.25,10.87,22.12
2023-06-26,Monday,2.5,2.1,5.02,9.62
2023-06-27,Tuesday,0.53,2,2.8,5.33
2023-06-28,Wednesday,0.24,1.8,1.7,3.74
2023-06-29,Thursday,1.15,5.3,4.82,11.27
2023-06-30,Friday,2.5,7,12.4,21.9
2023-07-01,Saturday,2.6,1.8,2.3,6.7
2023-07-02,Sunday,3.8,10,3.3,17.1
2023-07-03,Monday,3,5.1,7.25,15.35
2023-07-04,Tuesday,2.65,3.6,2.35,8.6
2023-07-05,Wednesday,1.88,3.25,2.86,7.99
2023-07-06,Thursday,2,4.35,3.1,9.45
2023-07-07,Friday,2.36,2.8,2.5,7.66
2023-07-08,Saturday,2.3,3.1,3.17,8.57
2023-07-09,Sunday,3.4,2.8,3.38,9.58
2023-07-10,Monday,5.3,7.25,4.35,16.9
2023-07-11,Tuesday,2.85,6.6,7.3,16.75
2023-07-12,Wednesday,1.66,4.25,14.6,20.51
2023-07-13,Thursday,2.2,2.35,11.2,15.75
2023-07-14,Friday,4.55,6.1,0.25,10.9
2023-07-15,Saturday,3.6,4.35,0.2,8.15
2023-07-16,Sunday,3.88,6.7,4.2,14.78
2023-07-17,Monday,2.85,4.85,10.91,18.61
2023-07-18,Tuesday,3.36,3.8,8.25,15.41
2023-07-19,Wednesday,2.36,6.7,1.3,10.36
2023-07-20,Thursday,4.31,7.35,2.75,14.41
2023-07-21,Friday,1.88,5.4,3.15,10.43
2023-07-22,Saturday,2.4,4.5,2.7,9.6
2023-07-23,Sunday,2.5,3.8,2.64,8.94
2023-07-24,Monday,3.65,3.58,1.54,8.77
2023-07-25,Tuesday,4.81,2.85,2.5,10.16
2023-07-26,Wednesday,3.84,3.1,6.06,13
2023-07-27,Thursday,4.16,3.58,1.5,9.24
2023-07-28,Friday,3.17,2.75,3.85,9.77
2023-07-29,Saturday,2.8,3.25,2.4,8.45
2023-07-30,Sunday,3.64,2.05,3.25,8.94
2023-08-01,Tuesday,,,,
2023-08-02,Wednesday,,,,
2023-08-03,Thursday,,,,
2023-08-04,Friday,,,,
2023-08-05,Saturday,,,,
2023-08-06,Sunday,,,,
2023-08-07,Monday,,,,
2023-08-08,Tuesday,,,,
2023-08-09,Wednesday,,,,
2023-08-10,Thursday,,,,
2023-08-11,Friday,,,,
