2020,4,5,6,6,9,5,5,2,1,5,7,15,7,7,,
2021,4,10,10,8,10,6,8,4,12,7,12,22,11,13,16,7
2022,3.6,11.9,13.8,11,8.7,9,9.6,6.8,10,12.5,16.6,26.3,23.7,18.5,9.9,5.4
